Recipe_ID,Dish_Name,Cuisine,Meal_Type,Diet_Type,Ingredients,Step_1,Step_2,Step_3,Step_4
124,Chole Bhature,Indian,Lunch,Vegan,"chickpeas, onion, flour, ginger, green chili, garam masala","Step 1: Prepare ingredients by cleaning and chopping: chickpeas, onion.",Step 2: Heat oil in a saucepan and bake chickpeas for 5 minutes.,"Step 3: Add onion and flour to the pot, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
125,Risotto Milanese,Italian,Snack,Non-Vegetarian,"rice, saffron, cheese","Step 1: Prepare ingredients by cleaning and chopping: rice, saffron.",Step 2: Heat oil in a pan and bake rice for 5 minutes.,"Step 3: Add saffron and cheese to the grill, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
126,Mac and Cheese,American,Lunch,Vegan,"macaroni, cheese, milk, butter, flour, milk, salt, pepper",Step 1: Boil macaroni in salted water until al dente. Drain and set aside.,"Step 2: In a saucepan, melt butter and stir in flour to form a roux. Gradually whisk in milk.","Step 3: Add cheese, stir until melted and creamy. Mix in the cooked macaroni.","Step 4: Simmer for 2-3 minutes, season with salt and pepper, and serve hot."
127,Guacamole Nachos,Mexican,Lunch,Vegetarian,"avocado, nachos, onion","Step 1: Prepare ingredients by cleaning and chopping: avocado, nachos.",Step 2: Heat oil in a grill and bake avocado for 5 minutes.,"Step 3: Add nachos and onion to the saucepan, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
128,Ramen,Japanese,Lunch,Vegetarian,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
129,Chili Con Carne,Mexican,Snack,Non-Vegetarian,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a grill and fry beef for 5 minutes.,"Step 3: Add beans and tomato to the oven, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
130,Quiche Lorraine,French,Lunch,Gluten-Free,"egg, cheese, bacon","Step 1: Prepare ingredients by cleaning and chopping: egg, cheese.",Step 2: Heat oil in a wok and steam egg for 5 minutes.,"Step 3: Add cheese and bacon to the oven, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
131,Masala Dosa,Indian,Lunch,Vegetarian,"potato, rice, onion, mustard seeds, green chili, ginger","Step 1: Prepare ingredients by cleaning and chopping: potato, rice.",Step 2: Heat oil in a oven and steam potato for 5 minutes.,"Step 3: Add rice and onion to the grill, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
132,Spaghetti Carbonara,Italian,Snack,Gluten-Free,"spaghetti, egg, cheese, garlic, black pepper, olive oil","Step 1: Prepare ingredients by cleaning and chopping: spaghetti, egg.",Step 2: Heat oil in a oven and roast spaghetti for 5 minutes.,"Step 3: Add egg and cheese to the steamer, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
133,Chow Mein,Chinese,Breakfast,Vegetarian,"noodles, vegetables, soy sauce","Step 1: Prepare ingredients by cleaning and chopping: noodles, vegetables.",Step 2: Heat oil in a grill and grill noodles for 5 minutes.,"Step 3: Add vegetables and soy sauce to the wok, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
134,Ramen,Japanese,Breakfast,Gluten-Free,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
135,Chili Con Carne,Mexican,Snack,Vegan,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a grill and sauté beef for 5 minutes.,"Step 3: Add beans and tomato to the wok, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
136,Lasagna,Italian,Lunch,Non-Vegetarian,"pasta, cheese, beef, oregano, tomato sauce, garlic","Step 1: Cook the lasagna sheets and prepare a meat sauce with tomatoes, garlic, and beef.","Step 2: In a baking dish, layer pasta, meat sauce, ricotta, and mozzarella cheese.","Step 3: Repeat the layers, finishing with cheese on top.",Step 4: Bake in a preheated oven at 375°F for 30-35 minutes. Let it rest before serving.
137,Risotto Milanese,Italian,Dinner,Vegetarian,"rice, saffron, cheese","Step 1: Prepare ingredients by cleaning and chopping: rice, saffron.",Step 2: Heat oil in a steamer and roast rice for 5 minutes.,"Step 3: Add saffron and cheese to the skillet, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
138,Chicken Biryani,Indian,Lunch,Gluten-Free,"chicken, rice, onion, garam masala, mint, yogurt","Step 1: Marinate chicken with yogurt, spices, and herbs. Let it rest for 30 minutes.","Step 2: In a pot, sauté onions and add marinated chicken. Cook till partially done.","Step 3: Add parboiled basmati rice over chicken, layer with mint and fried onions.",Step 4: Cover and dum cook for 20 minutes on low heat. Serve hot with raita.
139,Tom Yum Soup,Thai,Snack,Vegetarian,"shrimp, lemongrass, mushroom","Step 1: Prepare ingredients by cleaning and chopping: shrimp, lemongrass.",Step 2: Heat oil in a pot and fry shrimp for 5 minutes.,"Step 3: Add lemongrass and mushroom to the oven, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
140,Buffalo Wings,American,Dinner,Vegetarian,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a grill and steam chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the oven, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
141,Chili Con Carne,Mexican,Snack,Vegan,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a oven and sauté beef for 5 minutes.,"Step 3: Add beans and tomato to the grill, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
142,Penne Arrabbiata,Italian,Dinner,Vegetarian,"penne, tomato, garlic","Step 1: Prepare ingredients by cleaning and chopping: penne, tomato.",Step 2: Heat oil in a grill and boil penne for 5 minutes.,"Step 3: Add tomato and garlic to the pan, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
143,Fried Rice,Chinese,Snack,Non-Vegetarian,"rice, egg, vegetables, soy sauce, spring onion, egg","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a pot and grill rice for 5 minutes.,"Step 3: Add egg and vegetables to the oven, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
144,Chole Bhature,Indian,Breakfast,Vegetarian,"chickpeas, onion, flour, ginger, green chili, garam masala","Step 1: Prepare ingredients by cleaning and chopping: chickpeas, onion.",Step 2: Heat oil in a skillet and bake chickpeas for 5 minutes.,"Step 3: Add onion and flour to the oven, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
145,Ratatouille,French,Lunch,Vegan,"zucchini, tomato, eggplant, thyme, olive oil, bell pepper","Step 1: Prepare ingredients by cleaning and chopping: zucchini, tomato.",Step 2: Heat oil in a pan and bake zucchini for 5 minutes.,"Step 3: Add tomato and eggplant to the skillet, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
146,Rajma Chawal,Indian,Breakfast,Gluten-Free,"kidney beans, rice, tomato, garam masala, bay leaf, coriander","Step 1: Prepare ingredients by cleaning and chopping: kidney beans, rice.",Step 2: Heat oil in a wok and boil kidney beans for 5 minutes.,"Step 3: Add rice and tomato to the grill, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
147,French Onion Soup,French,Breakfast,Vegetarian,"onion, beef broth, cheese","Step 1: Prepare ingredients by cleaning and chopping: onion, beef broth.",Step 2: Heat oil in a wok and blanch onion for 5 minutes.,"Step 3: Add beef broth and cheese to the steamer, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
148,Spaghetti Carbonara,Italian,Lunch,Non-Vegetarian,"spaghetti, egg, cheese, garlic, black pepper, olive oil","Step 1: Prepare ingredients by cleaning and chopping: spaghetti, egg.",Step 2: Heat oil in a pot and blanch spaghetti for 5 minutes.,"Step 3: Add egg and cheese to the skillet, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
149,Teriyaki Chicken,Japanese,Snack,Non-Vegetarian,"chicken, soy sauce, sugar","Step 1: Prepare ingredients by cleaning and chopping: chicken, soy sauce.",Step 2: Heat oil in a grill and blanch chicken for 5 minutes.,"Step 3: Add soy sauce and sugar to the skillet, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
150,Cheeseburger,American,Breakfast,Vegan,"beef, cheese, bun","Step 1: Prepare ingredients by cleaning and chopping: beef, cheese.",Step 2: Heat oil in a grill and roast beef for 5 minutes.,"Step 3: Add cheese and bun to the steamer, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
151,Sushi Roll,Japanese,Snack,Gluten-Free,"rice, nori, fish, nori, vinegar, cucumber","Step 1: Prepare ingredients by cleaning and chopping: rice, nori.",Step 2: Heat oil in a skillet and simmer rice for 5 minutes.,"Step 3: Add nori and fish to the pan, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
152,Teriyaki Chicken,Japanese,Snack,Gluten-Free,"chicken, soy sauce, sugar","Step 1: Prepare ingredients by cleaning and chopping: chicken, soy sauce.",Step 2: Heat oil in a oven and blanch chicken for 5 minutes.,"Step 3: Add soy sauce and sugar to the wok, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
153,Fried Rice,Chinese,Lunch,Vegan,"rice, egg, vegetables, soy sauce, spring onion, egg","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a skillet and roast rice for 5 minutes.,"Step 3: Add egg and vegetables to the pan, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
154,Risotto Milanese,Italian,Breakfast,Vegetarian,"rice, saffron, cheese","Step 1: Prepare ingredients by cleaning and chopping: rice, saffron.",Step 2: Heat oil in a pan and grill rice for 5 minutes.,"Step 3: Add saffron and cheese to the grill, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
155,Green Curry,Thai,Dinner,Vegan,"coconut milk, green curry paste, chicken, basil, fish sauce, green chili","Step 1: Prepare ingredients by cleaning and chopping: coconut milk, green curry paste.",Step 2: Heat oil in a wok and roast coconut milk for 5 minutes.,"Step 3: Add green curry paste and chicken to the grill, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
156,Massaman Curry,Thai,Lunch,Vegan,"beef, potato, coconut milk","Step 1: Prepare ingredients by cleaning and chopping: beef, potato.",Step 2: Heat oil in a saucepan and boil beef for 5 minutes.,"Step 3: Add potato and coconut milk to the grill, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
157,Ramen,Japanese,Dinner,Vegan,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
158,Beef Bourguignon,French,Lunch,Vegetarian,"beef, red wine, carrot","Step 1: Prepare ingredients by cleaning and chopping: beef, red wine.",Step 2: Heat oil in a oven and sauté beef for 5 minutes.,"Step 3: Add red wine and carrot to the saucepan, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
159,Chicken Biryani,Indian,Snack,Non-Vegetarian,"chicken, rice, onion, garam masala, mint, yogurt","Step 1: Marinate chicken with yogurt, spices, and herbs. Let it rest for 30 minutes.","Step 2: In a pot, sauté onions and add marinated chicken. Cook till partially done.","Step 3: Add parboiled basmati rice over chicken, layer with mint and fried onions.",Step 4: Cover and dum cook for 20 minutes on low heat. Serve hot with raita.
160,Tacos al Pastor,Mexican,Lunch,Gluten-Free,"pork, pineapple, tortilla, onion, cilantro, lime","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a steamer and boil pork for 5 minutes.,"Step 3: Add pineapple and tortilla to the oven, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
161,Miso Soup,Japanese,Dinner,Non-Vegetarian,"miso, tofu, seaweed","Step 1: Prepare ingredients by cleaning and chopping: miso, tofu.",Step 2: Heat oil in a steamer and simmer miso for 5 minutes.,"Step 3: Add tofu and seaweed to the saucepan, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
162,Paneer Butter Masala,Indian,Snack,Vegetarian,"paneer, tomato, butter, cumin, cream, ginger, garlic",Step 1: Sauté paneer cubes lightly and set aside.,"Step 2: In a pan, cook onion, tomato puree, and spices in butter.",Step 3: Add cream and simmer the gravy. Add paneer cubes.,Step 4: Cook for 5 minutes. Garnish with coriander leaves and serve with naan.
163,Pad Thai,Thai,Dinner,Vegetarian,"noodles, tofu, peanuts","Step 1: Prepare ingredients by cleaning and chopping: noodles, tofu.",Step 2: Heat oil in a skillet and sauté noodles for 5 minutes.,"Step 3: Add tofu and peanuts to the saucepan, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
164,Spaghetti Carbonara,Italian,Lunch,Non-Vegetarian,"spaghetti, egg, cheese, garlic, black pepper, olive oil","Step 1: Prepare ingredients by cleaning and chopping: spaghetti, egg.",Step 2: Heat oil in a pan and fry spaghetti for 5 minutes.,"Step 3: Add egg and cheese to the oven, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
165,French Onion Soup,French,Lunch,Gluten-Free,"onion, beef broth, cheese","Step 1: Prepare ingredients by cleaning and chopping: onion, beef broth.",Step 2: Heat oil in a steamer and blanch onion for 5 minutes.,"Step 3: Add beef broth and cheese to the oven, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
166,Thai Fried Rice,Thai,Lunch,Non-Vegetarian,"rice, egg, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a grill and boil rice for 5 minutes.,"Step 3: Add egg and chicken to the steamer, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
167,Pad Thai,Thai,Breakfast,Non-Vegetarian,"noodles, tofu, peanuts","Step 1: Prepare ingredients by cleaning and chopping: noodles, tofu.",Step 2: Heat oil in a steamer and roast noodles for 5 minutes.,"Step 3: Add tofu and peanuts to the pan, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
168,Quiche Lorraine,French,Dinner,Gluten-Free,"egg, cheese, bacon","Step 1: Prepare ingredients by cleaning and chopping: egg, cheese.",Step 2: Heat oil in a pot and blanch egg for 5 minutes.,"Step 3: Add cheese and bacon to the pan, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
169,Fried Rice,Chinese,Dinner,Vegan,"rice, egg, vegetables, soy sauce, spring onion, egg","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a skillet and grill rice for 5 minutes.,"Step 3: Add egg and vegetables to the wok, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
170,Risotto Milanese,Italian,Dinner,Vegetarian,"rice, saffron, cheese","Step 1: Prepare ingredients by cleaning and chopping: rice, saffron.",Step 2: Heat oil in a oven and fry rice for 5 minutes.,"Step 3: Add saffron and cheese to the pot, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
171,Fried Rice,Chinese,Dinner,Gluten-Free,"rice, egg, vegetables, soy sauce, spring onion, egg","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a skillet and roast rice for 5 minutes.,"Step 3: Add egg and vegetables to the wok, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
172,Mac and Cheese,American,Snack,Vegetarian,"macaroni, cheese, milk, butter, flour, milk, salt, pepper",Step 1: Boil macaroni in salted water until al dente. Drain and set aside.,"Step 2: In a saucepan, melt butter and stir in flour to form a roux. Gradually whisk in milk.","Step 3: Add cheese, stir until melted and creamy. Mix in the cooked macaroni.","Step 4: Simmer for 2-3 minutes, season with salt and pepper, and serve hot."
173,Burrito Bowl,Mexican,Breakfast,Gluten-Free,"rice, beans, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, beans.",Step 2: Heat oil in a skillet and bake rice for 5 minutes.,"Step 3: Add beans and chicken to the pot, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
174,Thai Fried Rice,Thai,Lunch,Non-Vegetarian,"rice, egg, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a wok and blanch rice for 5 minutes.,"Step 3: Add egg and chicken to the pan, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
175,Kung Pao Chicken,Chinese,Snack,Vegetarian,"chicken, peanuts, chili","Step 1: Prepare ingredients by cleaning and chopping: chicken, peanuts.",Step 2: Heat oil in a steamer and fry chicken for 5 minutes.,"Step 3: Add peanuts and chili to the wok, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
176,Sweet and Sour Pork,Chinese,Dinner,Vegan,"pork, pineapple, pepper","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a saucepan and boil pork for 5 minutes.,"Step 3: Add pineapple and pepper to the wok, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
177,Spaghetti Carbonara,Italian,Snack,Vegetarian,"spaghetti, egg, cheese, garlic, black pepper, olive oil","Step 1: Prepare ingredients by cleaning and chopping: spaghetti, egg.",Step 2: Heat oil in a skillet and steam spaghetti for 5 minutes.,"Step 3: Add egg and cheese to the grill, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
178,Tom Yum Soup,Thai,Lunch,Gluten-Free,"shrimp, lemongrass, mushroom","Step 1: Prepare ingredients by cleaning and chopping: shrimp, lemongrass.",Step 2: Heat oil in a oven and grill shrimp for 5 minutes.,"Step 3: Add lemongrass and mushroom to the skillet, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
179,Fried Rice,Chinese,Snack,Non-Vegetarian,"rice, egg, vegetables, soy sauce, spring onion, egg","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a skillet and steam rice for 5 minutes.,"Step 3: Add egg and vegetables to the steamer, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
180,Spaghetti Carbonara,Italian,Snack,Non-Vegetarian,"spaghetti, egg, cheese, garlic, black pepper, olive oil","Step 1: Prepare ingredients by cleaning and chopping: spaghetti, egg.",Step 2: Heat oil in a grill and bake spaghetti for 5 minutes.,"Step 3: Add egg and cheese to the wok, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
181,Margherita Pizza,Italian,Lunch,Vegetarian,"cheese, tomato, basil","Step 1: Prepare ingredients by cleaning and chopping: cheese, tomato.",Step 2: Heat oil in a wok and roast cheese for 5 minutes.,"Step 3: Add tomato and basil to the grill, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
182,Crepes,French,Breakfast,Gluten-Free,"flour, milk, egg","Step 1: Prepare ingredients by cleaning and chopping: flour, milk.",Step 2: Heat oil in a oven and fry flour for 5 minutes.,"Step 3: Add milk and egg to the pot, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
183,Risotto Milanese,Italian,Snack,Vegetarian,"rice, saffron, cheese","Step 1: Prepare ingredients by cleaning and chopping: rice, saffron.",Step 2: Heat oil in a pan and fry rice for 5 minutes.,"Step 3: Add saffron and cheese to the skillet, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
184,Masala Dosa,Indian,Breakfast,Vegetarian,"potato, rice, onion, mustard seeds, green chili, ginger","Step 1: Prepare ingredients by cleaning and chopping: potato, rice.",Step 2: Heat oil in a oven and fry potato for 5 minutes.,"Step 3: Add rice and onion to the pot, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
185,Chole Bhature,Indian,Snack,Non-Vegetarian,"chickpeas, onion, flour, ginger, green chili, garam masala","Step 1: Prepare ingredients by cleaning and chopping: chickpeas, onion.",Step 2: Heat oil in a oven and sauté chickpeas for 5 minutes.,"Step 3: Add onion and flour to the wok, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
186,Risotto Milanese,Italian,Dinner,Vegan,"rice, saffron, cheese","Step 1: Prepare ingredients by cleaning and chopping: rice, saffron.",Step 2: Heat oil in a saucepan and simmer rice for 5 minutes.,"Step 3: Add saffron and cheese to the oven, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
187,Beef Bourguignon,French,Snack,Gluten-Free,"beef, red wine, carrot","Step 1: Prepare ingredients by cleaning and chopping: beef, red wine.",Step 2: Heat oil in a wok and roast beef for 5 minutes.,"Step 3: Add red wine and carrot to the steamer, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
188,Ratatouille,French,Breakfast,Non-Vegetarian,"zucchini, tomato, eggplant, thyme, olive oil, bell pepper","Step 1: Prepare ingredients by cleaning and chopping: zucchini, tomato.",Step 2: Heat oil in a pot and simmer zucchini for 5 minutes.,"Step 3: Add tomato and eggplant to the skillet, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
189,Chole Bhature,Indian,Breakfast,Vegan,"chickpeas, onion, flour, ginger, green chili, garam masala","Step 1: Prepare ingredients by cleaning and chopping: chickpeas, onion.",Step 2: Heat oil in a pan and simmer chickpeas for 5 minutes.,"Step 3: Add onion and flour to the skillet, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
190,Fried Rice,Chinese,Breakfast,Vegan,"rice, egg, vegetables, soy sauce, spring onion, egg","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a wok and boil rice for 5 minutes.,"Step 3: Add egg and vegetables to the pot, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
191,Ramen,Japanese,Dinner,Gluten-Free,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
192,Thai Fried Rice,Thai,Lunch,Non-Vegetarian,"rice, egg, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a grill and bake rice for 5 minutes.,"Step 3: Add egg and chicken to the pan, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
193,Chole Bhature,Indian,Breakfast,Non-Vegetarian,"chickpeas, onion, flour, ginger, green chili, garam masala","Step 1: Prepare ingredients by cleaning and chopping: chickpeas, onion.",Step 2: Heat oil in a steamer and boil chickpeas for 5 minutes.,"Step 3: Add onion and flour to the grill, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
194,Quiche Lorraine,French,Dinner,Non-Vegetarian,"egg, cheese, bacon","Step 1: Prepare ingredients by cleaning and chopping: egg, cheese.",Step 2: Heat oil in a oven and sauté egg for 5 minutes.,"Step 3: Add cheese and bacon to the pot, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
195,Buffalo Wings,American,Dinner,Non-Vegetarian,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a steamer and grill chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the saucepan, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
196,Chili Con Carne,Mexican,Snack,Non-Vegetarian,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a oven and roast beef for 5 minutes.,"Step 3: Add beans and tomato to the wok, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
197,Fried Rice,Chinese,Breakfast,Gluten-Free,"rice, egg, vegetables, soy sauce, spring onion, egg","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a pot and fry rice for 5 minutes.,"Step 3: Add egg and vegetables to the grill, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
198,Tempura,Japanese,Lunch,Gluten-Free,"shrimp, flour, egg","Step 1: Prepare ingredients by cleaning and chopping: shrimp, flour.",Step 2: Heat oil in a oven and simmer shrimp for 5 minutes.,"Step 3: Add flour and egg to the wok, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
199,Rajma Chawal,Indian,Dinner,Vegan,"kidney beans, rice, tomato, garam masala, bay leaf, coriander","Step 1: Prepare ingredients by cleaning and chopping: kidney beans, rice.",Step 2: Heat oil in a oven and roast kidney beans for 5 minutes.,"Step 3: Add rice and tomato to the grill, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
200,BBQ Ribs,American,Snack,Gluten-Free,"pork, bbq sauce, spices","Step 1: Prepare ingredients by cleaning and chopping: pork, bbq sauce.",Step 2: Heat oil in a saucepan and roast pork for 5 minutes.,"Step 3: Add bbq sauce and spices to the steamer, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
201,Tempura,Japanese,Lunch,Vegan,"shrimp, flour, egg","Step 1: Prepare ingredients by cleaning and chopping: shrimp, flour.",Step 2: Heat oil in a saucepan and boil shrimp for 5 minutes.,"Step 3: Add flour and egg to the oven, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
202,Crepes,French,Breakfast,Vegan,"flour, milk, egg","Step 1: Prepare ingredients by cleaning and chopping: flour, milk.",Step 2: Heat oil in a oven and roast flour for 5 minutes.,"Step 3: Add milk and egg to the steamer, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
